12:21:46:963,10
12:21:47:962,5
12:21:48:964,993
12:21:49:963,991
12:21:50:963,13
12:21:51:963,998
12:21:52:962,1
12:21:53:964,992
12:21:54:964,999
12:21:55:963,1005
12:21:56:962,22
12:21:57:962,1
12:21:58:962,1025
12:21:59:963,995
12:22:00:961,1467
12:22:01:962,660
12:22:02:963,662
12:22:03:964,639
12:22:04:964,663
12:22:05:964,649
12:22:06:964,661
12:22:07:964,654
12:22:08:964,647
12:22:09:964,640
12:22:10:964,659
12:22:11:963,661
12:22:12:962,656
12:22:13:962,648
12:22:14:962,654
12:22:15:963,588
12:22:16:961,26
12:22:17:962,17
12:22:18:961,33
12:22:19:961,24
12:22:20:961,14
12:22:21:962,8
12:22:22:962,32
12:22:23:962,35
12:22:24:962,27
12:22:25:961,23
12:22:26:961,13
12:22:27:961,38
12:22:28:962,42
12:22:29:961,30
12:22:30:961,38
12:22:31:961,5
12:22:32:961,994
12:22:33:960,9
12:22:34:961,21
12:22:35:961,992
12:22:36:960,1
12:22:37:962,997
12:22:38:962,1008
12:22:39:961,6
12:22:40:962,1004
12:22:41:963,997
12:22:42:962,996
12:22:43:961,5
12:22:44:962,1006
12:22:45:962,1000
12:22:46:962,1006
12:22:47:962,1000
12:22:48:961,4
12:22:49:962,1013
12:22:50:962,996
12:22:51:961,1001
12:22:52:961,999
12:22:53:960,6
12:22:54:961,1008
12:22:55:960,4
12:22:56:962,996
12:22:57:961,6
12:22:58:962,992
12:22:59:962,2
12:23:00:962,1002
12:23:01:960,1
12:23:02:961,991
12:23:03:960,12
12:23:04:961,8
12:23:05:961,10
12:23:06:960,10
12:23:07:961,12
12:23:08:961,8
12:23:09:960,12
12:23:10:960,10
12:23:11:961,2
12:23:12:962,990
12:23:13:962,8
12:23:14:962,10
12:23:15:963,2
12:23:16:962,2
12:23:17:963,1006
12:23:18:962,1006
12:23:19:961,12
12:23:20:962,12
12:23:21:962,12
12:23:22:961,9
12:23:23:966,992
12:23:24:965,6
12:23:25:967,1006
12:23:26:966,1020
12:23:27:966,994
12:23:28:966,1003
12:23:29:966,1007
12:23:30:967,995
12:23:31:967,998
12:23:32:967,996
12:23:33:966,1027
12:23:34:965,5
12:23:35:966,1007
12:23:36:967,1000
12:23:37:965,15824
12:23:38:965,88
12:23:39:968,73
12:23:40:965,69
12:23:41:965,74
12:23:42:965,80
12:24:22:982,74
12:24:23:969,73
12:24:24:967,51
12:24:25:969,79
12:24:26:969,69
12:24:27:968,81
12:24:28:969,83
12:24:29:969,8
12:24:31:968,988
12:24:32:969,24
12:24:33:969,27
12:24:34:969,8
12:24:36:969,989
12:24:37:977,21
12:24:38:968,13
12:24:39:968,12
12:24:40:975,992
12:24:41:970,1008
12:24:42:969,12
12:24:43:966,11
12:24:44:967,996
12:24:45:969,1
12:24:46:965,1004
12:24:47:961,989
12:24:48:962,27
12:24:49:964,25
12:24:50:959,992
12:24:51:959,4
12:24:52:960,1026
12:24:53:960,15
12:24:54:960,8
12:24:55:961,19
12:24:56:960,995
12:24:57:961,1012
12:24:58:960,14
12:24:59:960,12
12:25:00:960,15
12:25:01:960,12
12:25:03:960,990
12:25:04:959,23
12:25:05:961,19
12:25:06:963,996
12:25:07:960,1009
